Feature,Coefficient,Odds Ratio,Probability Increase (%)
stop_words_count,-0.15206734097376415,0.8589304375814756,14.106956241852442
readability grades__ARI,-0.09523786414804469,0.9091566529737457,9.08433470262543
readability grades__LIX,-0.06236504595341208,0.9395398489626795,6.046015103732049
sentence info__wordtypes,-0.05847952462746569,0.9431975525232159,5.680244747678409
word usage__preposition,-0.05545867880425899,0.9460511148260792,5.394888517392083
named_entity_count,-0.05454312453027026,0.9469176725974737,5.3082327402526275
Women approaching men and being categorized based on interaction.,-0.01881676399355983,0.9813591661035125,1.8640833896487519
polarity,-0.017709370811110185,0.9824465185057885,1.7553481494211542
sentence info__complex_words_dc,-0.013201895200643824,0.9868848675870414,1.3115132412958586
avg_word_length,-0.01297498473703077,0.987108827498341,1.2891172501659054
