Feature,Coefficient,Odds Ratio,Probability Increase (%)
sentence info__wordtypes,-0.27227526502356714,0.7616445781192218,23.835542188077817
unique_word_count,-0.23330693674084893,0.7919104697988458,20.808953020115418
stop_words_count,-0.13639644106171947,0.8724966704100995,12.750332958990052
passive_voice_count,-0.09730848091805902,0.9072760856006019,9.27239143993981
word usage__tobeverb,-0.08601510985690518,0.9175803666073666,8.241963339263336
punctuation_diversity,-0.07013196762067103,0.93227078223068,6.7729217769319945
exclamation_marks,-0.06263061310522196,0.9392903711689984,6.070962883100162
word usage__conjunction,-0.0603731512380482,0.9414131785409535,5.858682145904648
active_voice_count,-0.05089597243628498,0.9503775308493826,4.9622469150617405
readability grades__SMOGIndex,-0.046482785031781805,0.9545809935099886,4.541900649001141
