,mean,median,std,min,max,u_stat,p_val
polarity,0.07170325651680672,0.0534185605,0.13389106265275574,-0.163888889,0.7,452378.0,0.028961734642593315
subjectivity,0.3484298341092437,0.376666667,0.1566301948203987,0.0,0.7,377291.0,0.013298420977584947
readability_score,74.34050420168066,76.065,11.250655628245987,37.3,101.09,484108.5,3.392299107256944e-05
syntactic_complexity,15.610784313844537,15.0,3.0461361692385167,9.333333333,23.0,347177.0,1.4181410086916382e-05
lexical_diversity,0.8512027627100841,0.8355855855000001,0.07824019796782568,0.657894737,1.0,478878.0,0.00013258169832666374
text_length,219.66806722689077,201.5,90.92670524686527,100.0,458.0,358487.0,0.00027347149255620764
question_marks,1.0,1.0,0.0,1.0,1.0,418404.0,0.40962089799987844
exclamation_marks,0.0,0.0,0.0,0.0,0.0,405195.0,0.007953727024278523
avg_word_length,4.630537220407564,4.6435294119999995,0.376718319731414,3.75,5.647058824,338156.0,9.62800371804884e-07
unique_word_count,32.53781512605042,30.0,11.316907865888206,18.0,63.0,386190.5,0.05445581989453301
sentiment_score_range,0.26743654278151263,0.193181818,0.24150168368108177,0.0,0.856818182,436284.5,0.23619726772589777
noun_phrase_count,10.117647058823529,9.0,4.018263097678437,4.0,19.0,334717.5,2.978088657305576e-07
verb_phrase_count,3.8949579831932772,3.0,2.6973764011913377,0.0,9.0,324835.5,8.520551106064772e-09
named_entity_count,4.42436974789916,4.0,2.074700583818945,0.0,9.0,544325.5,1.33505412230796e-15
passive_voice_count,0.46218487394957986,0.0,0.6533253590280574,0.0,2.0,445445.5,0.030583314814871802
active_voice_count,1.5252100840336134,2.0,0.9443340687042933,0.0,4.0,309216.5,1.9758330997069873e-12
modal_verbs_count,0.07142857142857142,0.0,0.31679909035980974,0.0,2.0,388708.0,0.0016669934705517218
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,413049.0,0.12155798742918643
sentence_count,2.810924369747899,3.0,0.9105374604209153,2.0,5.0,407435.0,0.5133955423740189
average_sentence_length,15.610784313844537,15.0,3.0461361692385167,9.333333333,23.0,347177.0,1.4181410086916382e-05
stop_words_count,22.415966386554622,20.0,10.06011872318631,10.0,49.0,413997.5,0.841940839681257
punctuation_diversity,2.953781512605042,3.0,0.479502188406174,2.0,5.0,369834.5,0.0006523242747350746
readability grades__Kincaid,16.40038526629832,15.258333335,6.632654835438372,6.647619048,32.99468354,348871.0,2.284681970122399e-05
readability grades__ARI,19.46961046509664,18.057625,8.213951023818055,6.911363636,40.24873418,350947.5,4.018742939369263e-05
readability grades__Coleman-Liau,9.64458412847059,9.673327417,2.26300916185083,4.502861955,16.01403597,337342.5,7.441209214154168e-07
readability grades__FleschReadingEase,48.088163988697474,49.912045455,21.314610767608094,-0.785443038,88.965,503329.0,9.481729351906654e-08
readability grades__GunningFogIndex,19.610633918949578,18.98796861,6.620715996651755,7.6,35.13684211,367195.5,0.0019379515465339303
readability grades__LIX,60.4085342512605,58.972868219999995,16.720826819366355,29.52631579,105.5822785,362639.5,0.0007198989429705538
readability grades__SMOGIndex,12.833588964789918,12.48683298,3.334720602336691,3.0,21.97366596,361868.0,0.0005513027131370457
readability grades__RIX,8.130252100840336,8.0,3.7342988795530294,2.0,21.0,376673.0,0.011772801612344622
readability grades__DaleChallIndex,10.19691171385714,10.257235305,1.2744901494180279,6.730144444,12.59646667,365703.5,0.0014128294421397816
sentence info__characters_per_word,4.475197854252102,4.4729532165000006,0.3871341921733069,3.615384615,5.558823529,343713.5,5.246043549988923e-06
sentence info__syll_per_word,1.4008195745840335,1.385233918,0.159254515136697,1.032258065,1.823529412,351009.0,4.084099929760637e-05
sentence info__words_per_sentence,39.642857142857146,36.0,16.331306537962288,19.0,79.0,374780.5,0.00853703894801185
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,417214.0,1.0
sentence info__type_token_ratio,0.8309172214285714,0.805555556,0.08816156326965996,0.644736842,1.0,482668.0,4.9838131964641274e-05
sentence info__characters,176.87394957983193,164.0,73.49463135154537,78.0,372.0,356300.5,0.00016018814866761776
sentence info__syllables,55.52100840336134,51.0,23.60606685214157,25.0,119.0,357858.0,0.00023461690466348311
sentence info__words,39.642857142857146,36.0,16.331306537962288,19.0,79.0,374780.5,0.00853703894801185
sentence info__wordtypes,31.852941176470587,30.0,10.51457757230177,18.0,59.0,387719.5,0.0674766103011493
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,417214.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,417214.0,1.0
sentence info__long_words,8.130252100840336,8.0,3.7342988795530294,2.0,21.0,376673.0,0.011772801612344622
sentence info__complex_words,3.592436974789916,3.0,2.208027535443543,0.0,12.0,361868.0,0.0005513027131370457
sentence info__complex_words_dc,11.3109243697479,10.0,4.9105894344174255,3.0,23.0,372174.0,0.005179640598506594
word usage__tobeverb,2.3823529411764706,2.0,1.5807463418492527,0.0,6.0,448042.0,0.05061917864872316
word usage__auxverb,0.04201680672268908,0.0,0.2723536415131183,0.0,2.0,381516.0,3.5518870936393555e-05
word usage__conjunction,2.033613445378151,2.0,1.16149745561345,1.0,5.0,446143.0,0.055039502814046105
word usage__pronoun,1.903361344537815,2.0,1.714639511293649,0.0,11.0,401191.0,0.3079497114107971
word usage__preposition,5.882352941176471,4.0,4.4781258711591505,0.0,18.0,443372.0,0.10265928923943794
word usage__nominalization,0.20588235294117646,0.0,0.45428928452392414,0.0,2.0,390087.5,0.023503975584753006
