,mean,median,std,min,max,u_stat,p_val
polarity,0.076223719024,0.050833333,0.1591747875849109,-0.5,0.7,735357.0,0.0001507766142464047
subjectivity,0.3928185517546666,0.3675,0.22783982445014103,0.0,1.0,669253.5,0.5643426809673068
readability_score,74.27170666666666,73.81,10.153539925332927,51.18,106.37,736399.0,0.00012718909517846097
syntactic_complexity,17.133733333306665,16.33333333,4.911232894404926,9.0,33.33333333,646927.5,0.6123761206575447
lexical_diversity,0.8553772932373334,0.851851852,0.10097550768004562,0.629213483,1.0,767674.5,8.83851445816364e-08
text_length,243.09333333333333,173.0,132.43422071503758,88.0,581.0,600217.0,0.005579552734797818
question_marks,0.9893333333333333,1.0,0.10286449907203389,0.0,1.0,652238.0,0.016462194153431736
exclamation_marks,0.032,0.0,0.1762351370454024,0.0,1.0,659473.5,0.7268420617381315
avg_word_length,4.741334042221333,4.733333333,0.3509544710833062,3.925925926,5.911764706,632545.0,0.22860530648007482
unique_word_count,34.744,27.0,15.825538150534113,16.0,79.0,621216.5,0.07943993018001377
sentiment_score_range,0.274569233584,0.208333333,0.23909726482887084,0.0,0.9,702821.5,0.027182749727797256
noun_phrase_count,11.544,9.0,6.143346472595611,4.0,27.0,586016.5,0.0005228520053231464
verb_phrase_count,4.978666666666666,3.0,4.0931105979684235,1.0,15.0,588790.5,0.0008257758553662047
named_entity_count,3.3653333333333335,3.0,1.9201641343984903,0.0,9.0,663777.0,0.7528777726302659
passive_voice_count,0.4613333333333333,0.0,0.7261158356444366,0.0,2.0,680511.5,0.16466860911328196
active_voice_count,1.848,2.0,1.0163581835254987,0.0,5.0,572226.5,1.440594870144608e-05
modal_verbs_count,0.13333333333333333,0.0,0.37047928681747416,0.0,2.0,655473.5,0.8716483833452899
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,650812.5,0.05198965772366746
sentence_count,2.6906666666666665,2.0,0.856115673461134,2.0,5.0,593081.0,0.0007645324254184642
average_sentence_length,17.133733333306665,16.33333333,4.911232894404926,9.0,33.33333333,646927.5,0.6123761206575447
stop_words_count,23.456,16.0,14.804882848227223,9.0,62.0,607752.0,0.016050313195395707
punctuation_diversity,3.037333333333333,3.0,0.762555044621981,2.0,5.0,617764.0,0.027785506537725525
readability grades__Kincaid,18.020316610090667,14.51923077,9.016808117591147,4.6,41.02785047,593141.5,0.0018420342578428903
readability grades__ARI,21.781926114706668,15.95178571,11.884998624215823,7.17625,52.62672897,596781.5,0.0033024957983010567
readability grades__Coleman-Liau,10.165310742738667,10.23182096,2.0009423738071392,6.176550826,16.79994473,609516.5,0.020309675895945123
readability grades__FleschReadingEase,43.180182270488004,45.47214286,23.071586476482413,-9.535,97.705,720729.5,0.0021265537050886383
readability grades__GunningFogIndex,20.706785358768,16.91428571,9.680502650172404,8.0,45.04299065,583642.5,0.00034991982726147885
readability grades__LIX,63.17574065005333,56.62962963,24.948310303233246,27.34782609,129.4299065,585435.0,0.0004861269490732008
readability grades__SMOGIndex,12.299105653493335,12.48683298,4.172896940420015,3.0,22.74841766,552629.5,3.1422538239058283e-07
readability grades__RIX,8.509333333333334,7.0,5.504912082949029,1.0,24.0,574661.0,5.790708565832964e-05
readability grades__DaleChallIndex,10.383289466114666,10.55300127,1.492906089445982,6.177166667,13.41023953,632638.0,0.2303520705444344
sentence info__characters_per_word,4.566438665522666,4.553846154,0.34961180114724244,3.814285714,5.696969697,621079.0,0.07841905728113624
sentence info__syll_per_word,1.4136607296560002,1.415384615,0.1373347094273521,1.05,1.757575758,606268.5,0.013207700650152594
sentence info__words_per_sentence,43.408,31.0,24.3366856284844,16.0,107.0,608143.0,0.01695270054451986
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,657375.0,1.0
sentence info__type_token_ratio,0.8338604636346666,0.818181818,0.1091940978130487,0.606741573,1.0,758214.5,1.0074252961704842e-06
sentence info__characters,196.20266666666666,140.0,106.89070080228478,70.0,467.0,598954.5,0.004615037207031
sentence info__syllables,60.128,46.0,31.450149672752,21.0,136.0,594040.0,0.00213132456293658
sentence info__words,43.408,31.0,24.3366856284844,16.0,107.0,608143.0,0.01695270054451986
sentence info__wordtypes,34.08533333333333,27.0,15.26532449400629,16.0,76.0,622973.0,0.09515354233226302
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,657375.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,657375.0,1.0
sentence info__long_words,8.509333333333334,7.0,5.504912082949029,1.0,24.0,574661.0,5.790708565832964e-05
sentence info__complex_words,3.461333333333333,3.0,2.3725194382446024,0.0,13.0,552629.5,3.1422538239058283e-07
sentence info__complex_words_dc,12.272,10.0,6.570932588317574,2.0,30.0,618712.0,0.0604224779672948
word usage__tobeverb,2.296,2.0,1.7072854270483788,0.0,7.0,658602.0,0.9514270821930776
word usage__auxverb,0.13333333333333333,0.0,0.37047928681747416,0.0,2.0,663376.5,0.5962206995313653
word usage__conjunction,1.776,1.0,1.187258559750375,0.0,5.0,604113.0,0.005634725408413961
word usage__pronoun,2.672,2.0,3.069017157032594,0.0,13.0,666883.5,0.6359027478067832
word usage__preposition,5.344,4.0,3.7929797240646796,1.0,14.0,655551.0,0.9290354335806102
word usage__nominalization,0.19466666666666665,0.0,0.5191244514357144,0.0,4.0,595795.5,4.98302347435962e-05
sentence beginnings__pronoun,0.018666666666666668,0.0,0.13552564859105068,0.0,1.0,569333.5,1.1560626805088988e-12
sentence beginnings__interrogative,0.024,0.0,0.15325348614645862,0.0,1.0,658152.0,0.8845345015986419
sentence beginnings__article,0.464,0.0,0.4993685852726613,0.0,1.0,818022.0,1.041527158760952e-25
sentence beginnings__subordination,0.058666666666666666,0.0,0.2353137246732707,0.0,1.0,674378.5,0.00989671324738097
sentence beginnings__conjunction,0.0,0.0,0.0,0.0,0.0,657375.0,1.0
sentence beginnings__preposition,0.144,0.0,0.35155879008737717,0.0,1.0,672912.0,0.1848681170207257
topic,40.245333333333335,21.0,32.61726804451987,0.0,99.0,540296.5,1.3649271839549786e-08
