,mean,median,std,min,max,u_stat,p_val
polarity,-0.016476731296703295,0.0,0.23071920130453602,-0.4,0.5,246625.5,2.1685317679866026e-07
subjectivity,0.3541510198131868,0.4,0.21908805920469035,0.0,0.75,308688.5,0.4592054685028081
readability_score,68.6810989010989,68.01,10.499791310796374,38.96,94.66,267217.0,0.00021508794144097662
syntactic_complexity,16.281135531208793,16.0,3.480083391568085,11.0,26.75,289260.5,0.03340832793805781
lexical_diversity,0.8898484216648351,0.895644283,0.07578521766445247,0.711864407,1.0,443026.5,8.490729203348196e-19
text_length,201.74725274725276,174.0,91.15454588502334,118.0,526.0,235566.0,2.515677901139936e-09
question_marks,1.0,1.0,0.0,1.0,1.0,319956.0,0.4709233133254199
exclamation_marks,0.0,0.0,0.0,0.0,0.0,309855.0,0.02026881123710262
avg_word_length,5.112419799357143,5.0976190475,0.47820293464560587,4.25,6.125,435239.0,1.0756378528465601e-16
unique_word_count,28.791208791208792,25.0,11.247115267732795,17.0,82.0,225644.5,2.532422628841939e-11
sentiment_score_range,0.3062399701098901,0.25,0.26511548052943773,0.0,1.06,353979.5,0.012382023869652549
noun_phrase_count,9.989010989010989,8.5,4.5029014722051,4.0,26.0,245408.5,1.3566366893127803e-07
verb_phrase_count,3.868131868131868,3.0,2.5105690016003326,1.0,12.0,246267.0,1.7252806743946478e-07
named_entity_count,3.0,3.0,1.2437690002435544,0.0,6.0,289178.0,0.030369527294498423
passive_voice_count,0.16483516483516483,0.0,0.40065516134777746,0.0,2.0,268910.0,7.441251415244759e-06
active_voice_count,1.7362637362637363,2.0,0.7843097374845189,0.0,5.0,260440.0,1.0602941272620748e-05
modal_verbs_count,0.04945054945054945,0.0,0.2174048983034335,0.0,1.0,294988.0,0.0022944821721009555
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,315861.0,0.17574767202408215
sentence_count,2.3626373626373627,2.0,0.6895668192092278,2.0,6.0,216091.5,1.9319232083012553e-15
average_sentence_length,16.281135531208793,16.0,3.480083391568085,11.0,26.75,289260.5,0.03340832793805781
stop_words_count,18.35164835164835,14.0,9.973305393516501,9.0,67.0,231515.5,4.0099001634907517e-10
punctuation_diversity,3.4065934065934065,3.0,0.5848553105862404,2.0,4.0,400571.0,2.4080664015193264e-11
readability grades__Kincaid,15.612652460093404,14.42,6.338349451371926,7.745217391,38.03818182,243670.0,7.375439566804887e-08
readability grades__ARI,18.52248982729121,17.16419355,8.001571676738205,9.323076923,48.05181818,245323.5,1.4117717387078686e-07
readability grades__Coleman-Liau,11.886412302741759,11.910659195000001,2.72440449868732,5.223739,18.00050487,407618.5,2.548915296395516e-10
readability grades__FleschReadingEase,43.538511145829666,45.236071429999996,19.788085572630916,-1.322727273,80.49869565,344545.0,0.06867053434100524
readability grades__GunningFogIndex,19.06825822945055,17.12941176,6.8890767567076265,10.3047619,42.02424242,259502.0,2.1240445427545217e-05
readability grades__LIX,58.961137791868126,56.57142857,16.277386785010304,38.77777778,116.0526316,259608.5,2.1976477840941e-05
readability grades__SMOGIndex,14.30423739793956,13.95445115,3.6360590225936558,8.477225575,22.74841766,339694.0,0.13767650302559606
readability grades__RIX,8.324175824175825,8.0,3.9274312429131197,1.0,20.0,291667.0,0.04999579051055721
readability grades__DaleChallIndex,10.992250579412088,11.058749124999999,1.6031832970020414,7.615155556,13.33267778,376541.5,4.040527843700236e-05
sentence info__characters_per_word,4.881889303335165,4.902593295,0.46368049792819604,3.769230769,5.958333333,421108.5,3.164535569925963e-13
sentence info__syll_per_word,1.5232877387747252,1.5434243175,0.15179246928437845,1.127659574,1.851851852,416604.0,3.267951241701535e-12
sentence info__words_per_sentence,33.917582417582416,27.0,16.00513794166873,20.0,99.0,217305.5,3.7060788153151577e-13
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,319046.0,1.0
sentence info__type_token_ratio,0.8688772043736265,0.890873016,0.09622690586107856,0.64516129,1.0,430132.5,2.150158412407e-15
sentence info__characters,164.57142857142858,144.5,74.14002622440623,94.0,421.0,240220.0,1.821478047782975e-08
sentence info__syllables,51.45054945054945,43.5,23.31895761449947,28.0,126.0,240080.0,1.7142753420567248e-08
sentence info__words,33.917582417582416,27.0,16.00513794166873,20.0,99.0,217305.5,3.7060788153151577e-13
sentence info__wordtypes,28.32967032967033,25.0,10.517078922494958,18.0,78.0,229128.5,1.3371030486920606e-10
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,319046.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,319046.0,1.0
sentence info__long_words,8.324175824175825,8.0,3.9274312429131197,1.0,20.0,291667.0,0.04999579051055721
sentence info__complex_words,4.697802197802198,4.0,2.9285969722465226,1.0,13.0,339694.0,0.13767650302559606
sentence info__complex_words_dc,11.978021978021978,10.0,6.007321540246709,5.0,24.0,293486.0,0.06754711448005422
word usage__tobeverb,1.6428571428571428,1.0,1.0918728253656202,0.0,5.0,254941.0,2.7118678443805423e-06
