Feature,Coefficient,Odds Ratio,Probability Increase (%)
stop_words_count,-0.1744521067672693,0.8399170796101092,16.00829203898908
Women sitting together at the bar,-0.15318586926272823,0.8579702366948252,14.20297633051748
readability grades__ARI,-0.11451713818479699,0.8917966545112901,10.820334548870992
named_entity_count,-0.0701550763271295,0.9322492389077538,6.775076109224621
sentence info__wordtypes,-0.06336395233713116,0.9386018051967446,6.139819480325537
readability grades__LIX,-0.06276329396680957,0.939165753580638,6.0834246419361975
word usage__preposition,-0.05907442311609498,0.9426366125924427,5.7363387407557305
polarity,-0.02125121720802757,0.9789729988118419,2.1027001188158145
Specific ethnicities associated with prostitution,-0.018802585902502424,0.9813730800017656,1.8626919998234404
sentence info__complex_words_dc,-0.01849197096556876,0.9816779564862624,1.8322043513737563
