Feature,Coefficient,Odds Ratio,Probability Increase (%)
sentence info__wordtypes,-0.2724296855385319,0.7615269736517535,23.84730263482465
unique_word_count,-0.23576761792534254,0.7899642261306299,21.00357738693701
stop_words_count,-0.1358001325932401,0.8730171027170596,12.698289728294043
African Americans and being lost versus buying drugs,-0.12158749876486155,0.8855135686154856,11.448643138451441
passive_voice_count,-0.09535926156103094,0.9090462904070761,9.095370959292392
word usage__tobeverb,-0.08248877225046779,0.9208217765550353,7.917822344496472
punctuation_diversity,-0.06855581989279716,0.9337413373074431,6.6258662692556864
exclamation_marks,-0.06065750764489762,0.9411455197291955,5.885448027080454
word usage__conjunction,-0.05847615435423533,0.9432007313620349,5.6799268637965135
active_voice_count,-0.05048532546594663,0.9507678806455987,4.923211935440131
