Feature,Coefficient,Odds Ratio,Probability Increase (%)
word usage__tobeverb,-0.32677748088336817,0.7212442157975903,27.875578420240966
readability grades__LIX,-0.20468146827132375,0.8149068487618223,18.50931512381777
stop_words_count,-0.145639555253991,0.8644692404310877,13.553075956891226
sentence info__syllables,-0.10833251644928303,0.8973291701078716,10.267082989212838
readability grades__Kincaid,-0.08391973716496817,0.9195050552159795,8.049494478402053
readability grades__GunningFogIndex,-0.0743309448489866,0.9283644055783493,7.163559442165068
flesch_reading_ease,-0.048667920181085476,0.9524973823432832,4.750261765671682
readability grades__ARI,-0.034201768636768916,0.9663765004961977,3.362349950380228
Traffic stops and racial profiling,-0.0319192329569233,0.9685848086510543,3.141519134894566
lexical_diversity,-0.025261479935340586,0.9750549213945185,2.494507860548145
